ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets
23-1,13/03/23 13:25:32,https://twitter.com/GirlFromIhawan/status/1534396823590281218,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Kadiwa, agricultural, Masagana 99",@GirlFromIhawan,🔥WILD TONIGHT🔥,Let me hear you sing LaLaLa,Anonymous,08/20,961,961,NULL,"Yes mare, panahon ni marcos sr. Nagawa na nila yan. Masagana 99 project. Mula, pagbibigay ng fertilizer hanggang sa pagdidistribute sa ""kadiwa"" ng mga agriculrtural products katuwang ng magsasaka ang govt.","Yes friend, during the time of Marcos Sr., they we're able to do just that, the Masagana 99 project. From giving fertilizer up to distribution to ""kadiwa"" of different agricultural products, the government worked hand in hand with the farmers. ","Text, Reply",08/06/2022 12:48,https://drive.google.com/file/d/1weUGYhQjHZ9jgfln3fNEFTROs9deC2Pg/view?usp=sharing,Rational,1,0,0
23-2,13/03/23 13:45:32,https://twitter.com/kotomba431C/status/1306285652443496448,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Nutribun, Panahon ni Marcos, mag-aaral",@kotomba431C,Kotomba Powder,"Life must go on ,somewhere along the way it will be better",Anonymous,11/15,2044,2102,NULL,Ito Ang Nutribun at Gatas na ibinibigay sa Mga Mag-aaral Noong Panahon ni Ferdinand Marcos ❤ https://t.co/le2q3BxBLQ,This is the Nutribun and milk that was provided for the students during the time of Ferdinand Marcos. ❤ https://t.co/le2q3BxBLQ,"Text, Image",17/09/20 1:35,https://drive.google.com/file/d/1-MhBL8k7V3TBiyAYLzIHOvAyhdznONT-/view?usp=share_link,Emotional,16,1,3
23-3,13/03/23 13:50:32,https://twitter.com/indaysara/status/1591419498648973313,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Nutribun, Marcos, nutrition, gulay",@indaysara,Sara Duterte,FLY. SOAR. FIGHT. WIN.,Identified,02/12,0,194189,Davao City,"Bilang pa-birthday, handog ni Sen. Imee ang mga nutribuns para sa mga bata at mga gulay para sa residente. 
 
 Ang nutribun ay kilalang tinapay na ipinamigay noong panahon ni dating Pangulong Ferdinand E. Marcos Sr. bilang bahagi ng nutrition program sa mga kabataan. https://t.co/KVViVY4aJP","For her birthday, Sen. Imee offers these nutribuns for the children and vegetables for the residents.

The nutribun is a well-known bread that was distributed during the time of former president Ferdinand E. Marcos Sr. as part of the nutrition program for the youth. https://t.co/KVViVY4aJP","Text, Image, Reply",12/11/22 21:15,https://drive.google.com/file/d/1cs3B8smx65wTe-33_aQSHz1f3bmKX3Yq/view?usp=share_link,Rational,191,12,29
23-4,31/03/23 10:35:49,https://twitter.com/aa_alegades/status/1108343927612952576?s=20,23,"Rosales, Christian Jay",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Walang nagugutom, Marcos",@aa_alegades,Alegades,💀,Anonymous,10/16,202,54,"Quezon City, National Capital","Kay Marcos, walang nagugutom na estudyante! Salamat sa Nutriban Marcos! MABUHAY KA! #MLNONFICTION","Because of Marcos, no student was hungry. Thanks for the Nutribun Marcos! Long live Marcos! #MLNONFICTION  ",Text,20/03/19 20:25,https://drive.google.com/file/d/1HaNIoJc7WmieUW9vuWpTya12U6sCgjkl/view?usp=share_link,Emotional,0,1,0
23-5,31/03/23 14:41:53,https://twitter.com/Yelle007/status/1303897326344429569?s=20,23,"Rosales, Christian Jay",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Walang nagugutom, Marcos",@Yelle007,Burger Ranger 🍔✌️😊,Rebel without a clue.,Anonymous,06/16,1721,1551,NULL,"eschuzme! @dawende, noong time ni Marcos walang nagugutom kasi yung palitaan ng USD to PHP noon eh $1:2 Php, sabi ng tatay ko na experience lang ng Pilipinas yung sinasabi mong poverty nung niluklok nyo yung balo ng fake hero nyo, di pa uso poverty nung time ni Macoy estorhayi!","eschuzme! @dawende, nobody went hungry during Marcos' time since the exchange between USD to PHP back then was $1:2Php, my dad said the Philippines only experienced your so called poverty when you believed in the widow of your fake hero, poverty was not a trend back in Macoy's story","Text, Reply (comment)",09/10/20 11:25,https://drive.google.com/file/d/1iEKP_N0N-6fzM5qqB47KmClhxES80Few/view?usp=share_link,Emotional,3,0,1
23-6,31/03/23 14:50:03,https://twitter.com/RjrMai/status/1446140473416962061?s=20,23,"Rosales, Christian Jay",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Walang nagugutom, Marcos",@RjrMai,Mai❤️Rjr.,GODFEARING,Anonymous,09/19,26,87,NULL,NOON PANAHON NI MARCOS WALANG MAHIRAP NAGUGUTOM DAHIL LAGING NAGBIGAY NG LIBRENG PAGKAIN SA SCHOOL AT BAWAT PAMILYANG MAHIRAP LAGING MAY AYUDA WITNESS AKO DYAN THAT'S THE FACT! #BBMIsMyPresident2022,"BACK IN MARCOS' ERA, NOBODY WAS POOR OR HUNGRY BECAUSE OF THE FREE FOOD PROVIDED IN SCHOOL AND POOR FAMILIES ALWAYS RECEIVED AID, I'M A WITNESS, THAT'S THE FACT!
#BBMIsMyPresident2022","Text, Image",10/07/21 23:48,https://drive.google.com/file/d/1Nm6J1vhPrUjlFy3ybGdVhFUut3eNZvdC/view?usp=share_link,Emotional,4,0,1
23-7,31/03/23 14:54:25,https://twitter.com/m3rce06/status/1523937858985156610?s=20,23,"Rosales, Christian Jay",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Walang nagugutom, Marcos",@m3rce06,merce,NULL,Anonymous,01/19,564,6,NULL,May mga NPA na nagpanggap na sundalo noon para palabasin na masama ang Martial law na dineklara ni Marcos. Saka sabi ng Papa at mama ko na talagang alaga sila laging may libreng pagkain at bakuna walang nagugutom na bata noon bumibisita sila Marcos at Imelda nag babahay,"There were NPA members who pretended to be soldiers back then to show that the Martial Law declared by Marcos was bad. And my dad and mom said they were taken care of, there was always food and vaccines, no child went hungry, Marcos and Imelda visited from house to house","Text, Reply (comment)",10/05/22 16:07,https://drive.google.com/file/d/1pRkLuscjH03ldHTZ1NvQN9dLshIIc-nO/view?usp=sharing,Rational,0,0,0
23-8,31/03/23 14:56:40,https://twitter.com/sg_rica/status/1307911741821468672?s=20,23,"Rosales, Christian Jay",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Walang nagugutom, Marcos",@sg_rica,Rica🇸🇬🇵🇭,GOD IS GOOD ALL THE TIME,Anonymous,04/20,46,13,NULL,"Naalala ko nuon,kahit wala akong baon,nakakain pa rin ako dahil sa libreng nutri bun at klim milk para sa mga mag aaral nang dahil dyan walang estudyanteng nagugutom,MARCOS ang may tunay na malasakit sa mga FILIPINO at sa BAYAN.","I remember back then, even when I did not have pocket money, I was still able to eat because of the free nutribun and klim milk for the students and because of that no student went hungry, MARCOS had true compassion for the FILPINOS and the COUNTRY",Text,21/09/20 13:17,https://drive.google.com/file/d/1obj_gNkG5lA9nlYvfmpUg3-2fLmSndSe/view?usp=sharing,Rational,0,0,0
23-9,31/03/23 14:59:18,https://twitter.com/zebastianne/status/1510010297574047752?s=20,23,"Rosales, Christian Jay",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"Walang nagugutom, Marcos",@zebastianne,"Rommel Gulay (💙,🧡)",I love me...,Anonymous,06/09,233,25,NULL,Alam ko na di mo pa nabutan marcos time noon.konti lang mahirap at nagugutom noon.even mga bata walang malnourish kase may libre mga food noon.80% na mahirap? Kayo ang walang alam kase sa di ka pa pinanganak sa marcos time.,I know that you did not reach Marcos' time back then. there were few poor and hungry back then. Even the children weren't malnourished because of the free food back then. 80% poor people? You are the ones who don't know anything because you weren't born during marcos' time,"Text, Reply (comment)",02/04/22 5:44,https://drive.google.com/file/d/1e-xVDjKUlnnyLpLBKXbfJEpQCkShbokE/view?usp=sharing,Rational,0,1,0
23-10,31/03/23 11:04:07,https://twitter.com/LovelynNavarro4/status/1470910896155557889?s=20,23,"Lorico, Hans Daniel",MRCS,Misinformation on Food Situation during Ferdinand Marcos' Regime,"galunggong, murang pagkain",@LovelynNavarro4,Love lyn Navarro,NULL,Anonymous,11/21,1,2,Philippines,"@bethangsioco Noong panahon ni marcos,nacontrol ang pagtaas ng dollar,,ang mura ng galunggong,,why yung hindi nakaabot sa regime ni marcos ang galit na galit,,i was grade 1 nung nag martial law,,i go to scholl alone,because panatag ang mga magulang ko,walang addict sa kalye,,","During the time of Marcos, the rise of the dollar was controlled, galunggong (mackerel) was cheap. Why do those people who did not even reach the Marcos regime feel the need to get mad? I was grade 1 during Martial Law. I go to school alone, because my parents felt secure that there were no addicts on the street.","Text, Reply",15/12/21 8:17,https://drive.google.com/file/d/1XFDmiXd6645EJNbTAoWweIOKBmMHl8J3/view?usp=share_link,Emotional,0,3,0
